Country Name,Country Code,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belize,BLZ,83076,85417,87832,90237,92505,94571,96360,97949,99578,101597,104242,107613,111599,115968,120363,124519,128349,131946,135378,138811,142329,145962,149672,153418,157163,160869,164530,168164,171789,175429,179106,182815,
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,3110675,3174770,3239077,3303939,3369810,3437041,3505691,3575685,3647060,3719850,3794027,3869632,3946560,4024468,4102888,4181460,4260052,4338688,4417338,4496071,4574931,4653862,4732823,4811868,4891071,4970471,5050069,5129856,5209865,5290137,5370711,5451584,
Brazil,BRA,67392605,68776051,70132512,71463558,72773389,74065784,75337893,76589451,77830183,79073046,80326481,81593981,82870275,84144042,85399151,86623241,87813754,88972136,90095059,91179697,92224752,93226927,94187803,95117172,96028649,96931915,97830532,98721348,99599041,100455246,101283707,102083113,
Barbados,BRB,122261,122872,123508,124143,124757,125319,125815,126263,126677,127081,127492,127921,128362,128808,129233,129637,130016,130370,130723,131102,131532,132016,132544,133098,133640,134147,134616,135048,135455,135826,136177,136498,
Brunei Darussalam,BRN,118582,121891,125367,128964,132680,136467,140364,144345,148281,151994,155368,158319,160908,163340,165891,168751,172015,175588,179329,182991,186399,189534,192429,195171,197885,200665,203524,206427,209347,212251,215098,217897,
Bhutan,BTN,240688,248658,257543,266105,272653,276084,275880,272694,268118,264412,263222,265037,269401,275940,283903,292714,302361,312899,323870,334679,344887,354266,362826,370725,378258,385612,392823,399773,406418,412657,418442,423750,
Botswana,BWA,582593,601634,620566,639474,658521,677771,697249,716843,736282,755201,773333,790649,807218,822976,837897,852004,865243,877763,890019,902629,916030,930407,945715,961880,978746,996190,1014201,1032815,1051962,1071600,1091641,1112054,
Central African Republic,CAF,1294244,1324963,1353436,1381281,1410850,1443775,1480581,1520577,1562735,1605465,1647594,1688783,1729252,1769089,1808543,1847763,1886444,1924303,1961523,1998368,2034901,2071823,2108767,2143409,2172662,2194632,2208264,2215201,2219605,2227221,2242274,2266183,
Canada,CAN,12882440,13008005,13176159,13344207,13580939,13781230,13964994,14131783,14281671,14415118,14532342,14689130,14846373,14977834,15105132,15241867,15398999,15540087,15697939,15858471,16018324,16149592,16310314,16490904,16683127,16871227,17038535,17239606,17438881,17630939,17782136,18001277,
Central Europe and the Baltics,CEB,53265861,53497476,53709919,53892078,53934464,53889476,53643227,53475348,53481269,53419861,53337948,53140219,53063364,52916510,52840338,52476812,52155744,51787091,51598601,51434672,51277386,51135548,50938015,50753409,50655949,50472958,50294675,50178456,50070017,49964114,49849372,49714051,
Switzerland,CHE,3152410,3170239,3191567,3216370,3243584,3277968,3319861,3357102,3388076,3415348,3438373,3453728,3462227,3472765,3489693,3509827,3532690,3560269,3587920,3614448,3640276,3666645,3703751,3755812,3807911,3852549,3900234,3946311,3996107,4048932,4098592,4145763,
Channel Islands,CHI,65032,65747,66482,67200,67849,68397,68822,69139,69403,69672,70008,70424,70899,71429,71998,72590,73194,73831,74491,75154,75816,76494,77168,77825,78438,79008,79517,79975,80392,80790,81191,81592,
Chile,CHL,6001655,6103043,6207998,6315483,6424019,6532457,6640398,6747792,6854152,6959036,7062089,7163054,7261830,7358467,7453148,7546045,7637058,7726202,7813920,7900802,7987253,8073485,8159356,8244468,8328264,8410313,8490472,8568890,8645811,8721602,8796511,8870613,
China,CHN,539244515,547311204,556154832,565190587,573946550,582470121,590531742,597891229,604889315,611842204,618586032,625140432,631590489,637697691,643281642,648445282,653289427,657832960,662117402,666239967,670338757,674246565,677920041,681538500,685073651,688532785,691988818,695519169,699105548,702781045,706463193,710373422,
Cote d'Ivoire,CIV,5326486,5530754,5734737,5940604,6151526,6369485,6594638,6825336,7059469,7294128,7526739,7757897,7987022,8209188,8418099,8609932,8782633,8939312,9087773,9238941,9401111,9576845,9765252,9966970,10181675,10408966,10649972,10905050,11171895,11447207,11728516,12014987,
Cameroon,CMR,4983715,5143115,5307364,5475447,5646035,5818117,5991574,6166530,6342538,6519194,6696373,6873890,7052392,7233672,7420122,7613609,7814743,8023497,8240243,8465225,8698515,8940453,9191007,9449398,9714511,9985476,10261999,10544144,10831843,11125150,11424071,11728500,
"Congo, Dem. Rep.",COD,14696284,15101799,15527853,15988760,16502797,17080404,17733155,18451088,19196987,19919458,20583369,21174261,21708096,22217682,22751254,23344548,24007833,24732822,25514332,26341061,27204715,28105901,29048942,30033110,31057568,32121415,33223919,34364130,35540628,36751756,37996076,39272891,
"Congo, Rep.",COG,1060748,1090921,1121486,1152586,1184402,1217098,1250707,1285274,1320954,1357939,1396357,1436449,1478242,1521449,1565639,1610578,1655862,1701800,1749730,1801471,1858181,1920572,1987860,2057802,2127248,2193987,2257191,2317625,2376720,2436627,2498947,2564076,
Colombia,COL,15424417,15747853,16069417,16388811,16705958,17020763,17332985,17642213,17947997,18249850,18547492,18840406,19128790,19413912,19697566,19980925,20264386,20547201,20827975,21104745,21375978,21641186,21900459,22153563,22400406,22640896,22874731,23101711,23321982,23535863,23743532,23945019,
Comoros,COM,177830,183111,188646,194386,200311,206384,212621,219005,225523,232131,238801,245530,252306,259141,265983,272852,279722,286625,293593,300705,308013,315524,323236,331158,339285,347625,356183,364951,373891,382950,392083,401276,
Cabo Verde,CPV,147649,150447,153034,155652,158642,162246,166554,171429,176667,181946,187043,191862,196471,200931,205370,209878,214466,219071,223621,227998,232139,235997,239624,243058,246361,249596,252762,255862,258949,262107,265365,268758,
Costa Rica,CRI,1378124,1413411,1448955,1485057,1522142,1560470,1600017,1640592,1681945,1723829,1765943,1808297,1850702,1892429,1932536,1970392,2005633,2038470,2069531,2099762,2129855,2160018,2190041,2219725,2248736,2276834,2303969,2330280,2355875,2380925,2405548,2429773,
Caribbean small states,CSS,2837160,2859417,2876652,2891295,2906831,2925754,2948935,2975535,3004287,3033305,3061076,3087345,3112605,3136923,3160502,3183594,3206066,3227905,3249342,3270742,3292321,3314134,3336145,3358336,3380706,3403185,3425787,3448438,3470830,3492504,3513170,3532693,
Cuba,CUB,5082263,5123402,5173844,5229279,5283393,5331570,5372461,5407291,5437189,5464222,5489893,5514263,5536720,5557438,5576602,5594317,5610952,5626569,5640575,5652125,5660733,5665968,5668410,5669773,5672428,5677983,5687229,5699483,5713077,5725558,5735178,5741376,
Curacao,CUW,74052,73901,73177,71965,70680,69769,69107,68681,68676,68658,68735,69133,69295,68000,65530,62850,60573,60666,61953,62989,64495,65938,66946,67459,67607,68245,69076,69580,70348,71306,72277,73247,
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,355451,360140,366099,373085,380697,388626,396836,405363,414114,422946,431787,440540,449172,457775,466498,475424,484575,493849,503070,512006,520473,528421,535879,542863,549409,555576,561355,566746,571818,576676,581396,585992,
Czech Republic,CZE,5016533,5019378,5022058,5026078,5029152,5016169,5004867,5010937,5017259,5020232,5018301,5013655,5009543,5006056,5001999,4988766,4970324,4960655,4959561,4962868,4973660,4993580,5031263,5082444,5119837,5141037,5155439,5164338,5166319,5171631,5182047,5190466,
Germany,DEU,37135773,37209652,37337597,37561383,37927822,38321053,38653558,38990277,39281614,39449784,39598865,39748760,39842939,39885132,39945906,40032873,40130868,40227291,40277051,40294916,40298252,40278727,40250554,40199766,40123981,40088888,39378848,39479364,39613698,39805149,40176517,40683679,
Djibouti,DJI,214504,228869,246850,266206,283669,296962,305224,309376,311149,313127,317171,323828,332464,342286,352021,360763,368327,375085,381298,387368,393629,400110,406707,413469,420419,427559,434940,442543,450266,457974,465561,472981,
Dominica,DMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,2520502,2523723,2527114,2528795,2530923,2535725,2543044,2552242,2561570,2571086,2585390,2600969,2612718,2623106,2632607,2642115,2652166,2661119,2668794,2676194,2684203,2693803,2706664,2723614,2739334,2752727,2765401,2777215,2790167,2805496,2826216,2850381,
Dominican Republic,DOM,3268425,3337203,3406099,3475195,3544610,3614409,3684662,3755211,3825608,3895227,3963645,4030648,4096400,4161349,4226145,4291264,4356819,4422645,4488587,4554387,4619838,4684888,4749547,4813774,4877513,4940725,5003360,5065339,5126545,5186833,5246100,5304276,
Algeria,DZA,11388509,11736343,12086388,12435506,12780130,13117244,13445731,13764639,14071498,14363648,14639458,14898762,15142743,15373100,15592329,15803153,16006520,16204849,16404313,16612537,16835566,17074632,17330072,17605574,17905067,18230398,18583561,18961440,19354174,19748272,20133470,20505903,
East Asia & Pacific (excluding high income),EAP,748825257,761557443,775139803,788899018,802313047,815268185,827641036,839199684,850317117,861354161,872183114,882831837,893376382,903579567,913248171,922430825,931259391,939742981,947965047,956036207,964068569,971880525,979439179,986928022,994328057,1001644231,1008959647,1016345376,1023756848,1031214381,1038617480,1046173904,
Early-demographic dividend,EAR,919597630,942265260,965122128,988055902,1010940731,1034739084,1057404598,1079836374,1102123972,1124379354,1146716798,1169173401,1191695379,1214203055,1236660636,1259130167,1281414032,1303712441,1325973217,1348208442,1370421851,1392611894,1414793341,1436974245,1459164629,1481489548,1503787026,1525875216,1547931913,1569952025,1591909693,1613782115,
East Asia & Pacific,EAS,852985128,866540644,880888672,895395312,909570660,923246495,936366600,948608314,960376371,972125445,983757840,995192059,1006372038,1017174112,1027327969,1037042561,1046459656,1055432342,1064044771,1072428193,1080733284,1088975608,1096930546,1104996765,1112828214,1120523701,1128136995,1135863157,1143570899,1151357557,1159097951,1166959830,
Europe & Central Asia (excluding high income),ECA,176868989,178831315,180804390,182722665,184539670,185889161,186767701,187551072,188237270,188540550,188745617,188826800,189023369,189152920,189238967,189219958,189057164,188834466,188830689,188922453,189047085,189235093,189492874,189938535,190739629,191702169,192722865,193830210,195068096,196307448,197587253,198835739,
Europe & Central Asia,ECS,393235206,395835093,398489060,401169405,403847926,406115986,407813408,409540007,411056161,412006993,412795166,413433558,414150826,414775679,415451767,415956367,416619556,417420022,418551409,419830507,421133649,422448464,423971416,425680267,427461584,429173037,430250112,432073854,434213881,436410059,438672164,441050153,
Ecuador,ECU,4547264,4661019,4776888,4894605,5013814,5134168,5255513,5377636,5500051,5622146,5743436,5863887,5983431,6101535,6217567,6331205,6442042,6550522,6658157,6767042,6878671,6993592,7111360,7231181,7351809,7472292,7592413,7712362,7832095,7951665,8071065,8190175,
"Egypt, Arab Rep.",EGY,25222572,25913897,26637592,27377320,28110983,28822442,29506613,30167248,30808092,31436425,32058508,32673725,33282421,33893439,34518021,35164259,35838831,36540661,37260757,37985527,38706636,39417464,40125077,40851002,41624805,42465972,43382700,44363443,45383448,46407408,47408940,48379865,
Euro area,EMU,148731447,149158225,149640611,150216994,150931919,151688280,152290012,153021792,153667604,154136038,154562101,155000178,155415198,155796124,156258633,156839010,157518669,158371252,159313471,160265809,161157787,161959781,162837210,163658008,164204920,164603780,164254497,164618638,165173030,165741798,166310649,167042265,
Eritrea,ERI,1375247,1417558,1461559,1502949,1535945,1556852,1563799,1559237,1549204,1542146,1544362,1557460,1580041,1611647,1650854,1696285,1748564,1807426,1869342,1929647,1985023,2034079,2077700,2117672,2156877,2197504,2239823,,,,,,
Spain,ESP,18877083,18928468,18970942,19003698,19026130,19039058,19082363,19172186,19269731,19361635,19449561,19535352,19624377,19715407,19808103,19912437,20069143,20374436,20767149,21149757,21530626,21918403,22348101,22722937,22930377,23028108,23086389,23064354,22945591,22837535,22792763,22776443,
Estonia,EST,710959,717334,724185,729830,733387,733798,729162,714271,694104,677746,664904,655373,649018,644332,647619,651567,647537,642997,638205,633649,629579,625760,623061,621754,621005,620064,618663,616964,615321,614257,615225,616286,
Ethiopia,ETH,20311311,20975454,21668177,22394900,23164293,23981105,24847868,25757749,26694996,27638435,28573058,29492077,30399970,31306901,32228642,33176659,34154190,35157463,36182717,37223729,38276287,39339033,40414625,41507507,42623937,43768154,44941470,46141650,47365010,48606167,49860885,51127474,
European Union,EUU,229080678,229750658,230455517,231242427,232065894,232882661,233369657,234083940,234889809,235457089,235958294,236334834,236799024,237169159,237696155,238074412,238629656,239323117,240302274,241351861,242386743,243363990,244372258,245345611,246123684,246700182,246530225,247089355,247842188,248646024,249462952,250424886,
Fragile and conflict affected situations,FCS,114606887,117233019,119883384,122639843,125608917,129861928,133490130,137416293,141528782,145667480,149720393,153642733,157478970,161287952,165223600,169377102,173776935,178387699,183160198,188018872,192909404,197819829,202770707,207785191,212886121,218095081,223420208,228856280,234403657,240061173,245829933,251705024,
Finland,FIN,2373684,2382312,2390024,2398003,2407846,2419886,2434684,2450097,2463754,2476114,2487162,2496757,2505481,2513341,2520374,2526845,2533897,2541375,2548804,2557584,2567723,2578967,2591348,2604831,2618718,2632137,2645773,2659804,2673532,2686143,2696641,2706055,
Fiji,FJI,360521,364166,365973,366803,367879,370083,373682,378367,383744,389152,394119,398600,402747,406427,409536,412019,413757,414836,415702,416964,419045,422145,426099,430546,434944,438920,442352,445366,448103,450802,453631,456609,
France,FRA,27929877,28085392,28249352,28416254,28578630,28731195,28742174,28872028,28984051,29081136,29179287,29280158,29385099,29497513,29654612,29863224,30085762,30309625,30529201,30758440,30994426,31213958,31409818,31587991,31753829,31915282,32075615,32238070,32412314,32584757,32737505,32880918,
Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,43864,45024,46078,47089,48133,49273,50542,51895,53190,54261,54982,55289,55248,54977,54651,54382,54233,54172,54145,54096,53968,53767,53502,53244,53030,52899,52863,52917,53054,53245,53484,53766,
Gabon,GAB,404401,416051,428154,440645,453417,466383,479542,492908,506499,520341,534453,548923,563771,579019,594641,610674,627058,643951,661823,681272,702725,726202,751519,778556,807113,836929,868120,900385,932642,963463,991860,1017340,
United Kingdom,GBR,27486858,27548051,27605576,27666806,27739058,27822071,27907993,27983554,28051547,28125535,28204832,28283792,28366020,28460957,28571791,28693896,28828842,28979289,29144782,29340885,29570557,29813042,30067601,30324707,30573978,30834234,31096726,31334695,31566304,31825636,32099343,32368558,
Georgia,GEO,2202473,2225513,2247455,2273087,2281714,2282898,2299858,2317693,2334860,2310331,2248732,2191944,2151147,2129430,2111997,2094500,2077667,2061740,2033351,2005623,1979374,1954746,1931082,1909007,1887072,1864927,1842955,1821229,1799671,1777741,1774059,1775686,
Ghana,GHA,6460430,6658907,6852463,7043452,7236126,7433547,7636031,7842106,8051094,8261947,8473961,8687174,8902170,9119583,9340267,9564985,9794113,10027939,10267065,10512132,10763711,11021623,11286107,11558586,11840834,12133847,12438328,12753123,13075047,13399731,13723929,14046403,
Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,2509534,2581889,2657668,2744360,2852238,2987433,3153971,3346155,3548466,3739548,3904143,4036621,4141679,4227156,4305542,4386299,4471205,4558110,4648051,4741443,4838656,4941039,5049451,5162999,5280145,5399920,5521989,5647205,5777159,5914063,6059371,6213691,
"Gambia, The",GMB,364950,383102,402930,423439,443304,461574,477916,492629,506240,519617,533433,547768,562571,578041,594448,611939,630692,650691,671773,693649,716120,739141,762774,787066,812138,838032,864761,892281,920528,949443,978962,1009063,
Guinea-Bissau,GNB,437928,448997,459927,470871,482137,493911,506253,518967,531751,544138,555849,566771,577074,587112,597389,608283,619921,632268,645410,659399,674286,690114,706893,724620,743230,762685,782969,804047,825756,847908,870332,892963,
Equatorial Guinea,GNQ,177773,186166,193047,198991,204920,211532,218937,226966,235673,245070,255193,266132,277959,290619,304007,318062,332735,348122,364459,382079,401179,421845,443922,467244,491505,516480,542085,568265,594844,621610,648409,675138,
Greece,GRC,4926612,4943069,4959150,4976560,5002411,5056261,5118959,5160613,5193875,5222667,5249369,5274299,5301659,5331701,5351792,5372190,5397438,5413400,5421621,5429843,5440414,5451272,5459608,5468843,5478648,5482062,5471420,5440422,5400333,5363922,5328008,5290590,
Grenada,GRD,48695,48923,48678,48167,47703,47512,47660,48065,48622,49172,49586,49846,49994,50075,50140,50244,50390,50561,50759,50965,51177,51383,51603,51826,52058,52296,52543,52790,53051,53318,53582,53867,
Greenland,GRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,4119489,4214044,4309179,4405334,4503173,4603180,4705709,4810687,4917724,5026188,5135768,5246157,5357873,5472359,5591531,5716737,5848517,5986323,6129000,6274837,6422517,6571632,6722383,6874884,7029448,7186235,7345140,7505811,7667927,7831098,7995002,8159448,
Guam,GUM,61506,63146,64804,66459,68068,69608,71063,72411,73672,74811,75855,76787,77604,78319,78920,79430,79848,80175,80429,80612,80746,80835,80895,80929,80972,81026,81096,81196,81357,81613,81993,82513,
Guyana,GUY,386727,382672,377825,372930,369010,366733,366477,367956,370482,373012,374780,375564,375588,375138,374668,374515,374785,375335,375958,376323,376242,375603,374553,373503,373007,373461,375006,377483,380607,383908,387050,389954,
High income,HIC,472977254,476375009,479763725,483223670,486899151,490801432,494935717,498019747,502016273,505745934,510348912,513960222,517450904,520829012,524232651,527665299,531381621,535168977,538997036,543051172,547228507,551738022,556529815,561609454,566180894,570297243,573347248,577028318,580691317,584442992,588141501,591940135,
"Hong Kong SAR, China",HKG,2809622,2835530,2855538,2871608,2893860,2895720,2912710,2930505,2974287,3034079,3085409,3214359,3229019,3243001,3260413,3275043,3284453,3283595,3261290,3270699,3268969,3274155,3286790,3291483,3284504,3295709,3306190,3334400,3340083,3356097,3376777,3386891,
Honduras,HND,2126507,2190508,2255841,2322651,2391080,2461239,2533150,2606716,2681867,2758491,2836472,2915689,2996086,3077606,3160239,3243899,3328513,3413879,3499585,3585168,3670226,3754641,3838353,3921115,4002683,4082932,4161663,4238967,4315284,4391207,4467196,4543368,
Heavily indebted poor countries (HIPC),HPC,153816779,158006025,162363751,166924552,171730247,176805573,182178322,187829820,193682363,199627361,205590233,211539084,217506976,223564337,229814193,236331436,243143777,250229371,257554504,265064806,272723533,280519257,288474540,296626819,305029008,313717671,322705940,331978470,341508301,351255175,361188884,371300577,
Croatia,HRV,2274999,2285828,2295610,2305048,2310847,2317573,2186502,2166477,2247745,2251079,2258462,2171747,2207029,2170363,2193833,2130748,2136806,2136796,2137245,2137325,2139195,2138456,2136623,2135907,2133272,2127868,2061865,2055645,2050044,2041892,2025416,2009900,
Haiti,HTI,3142242,3213720,3285161,3356549,3427996,3499598,3571201,3642668,3714150,3785867,3857961,3930526,4003439,4076446,4149149,4221292,4292723,4363563,4434216,4505248,4577043,4649688,4722963,4796582,4870111,4943181,5015713,5087692,5158827,5228812,5297422,5364482,
Hungary,HUN,5134621,5121449,5108955,5097445,5038358,4982192,4976944,4969619,4958399,4946192,4934217,4921075,4906866,4891496,4873962,4857857,4843508,4826805,4810439,4797700,4786593,4778102,4770181,4761795,4754811,4744849,4732555,4709650,4698422,4687640,4678423,4668443,
IBRD only,IBD,1604042873,1633866087,1664594836,1695453521,1725854869,1755296978,1783693951,1811112196,1837980199,1864405195,1890512473,1916287668,1942075299,1967455979,1992284395,2016249933,2039739949,2062822889,2085818354,2108732222,2131632498,2154350057,2176830699,2199385729,2222164456,2244756189,2267433602,2290361287,2313314769,2336155138,2358785594,2381340900,
IDA & IBRD total,IBT,1971530218,2011609179,2052848851,2094479817,2135939251,2176741070,2216744649,2256058878,2295006430,2333605070,2371968014,2410071788,2448250422,2486130481,2523609334,2560532954,2597268992,2633882349,2670659276,2707557486,2744605580,2781630005,2818627678,2855966549,2893865301,2932126588,2970871536,3010098139,3049740035,3089613339,3129582112,3169756608,
IDA total,IDA,367487345,377743092,388254015,399026296,410084382,421444092,433050698,444946682,457026231,469199875,481455541,493784120,506175123,518674502,531324939,544283021,557529043,571059460,584840922,598825264,612973082,627279948,641796979,656580820,671700845,687370399,703437934,719736852,736425266,753458201,770796518,788415708,
IDA blend,IDB,124306161,128006498,131789206,135628001,139489329,143373257,147199228,151045680,154897806,158753213,162644565,166616006,170643236,174701428,178742935,182866539,187023137,191233367,195513363,199895674,204401916,209041837,213837457,218798154,223923482,229368379,234965431,240545460,246269522,252109256,258029154,264010533,
Indonesia,IDN,82501266,84273586,86040753,87784457,89481388,91116020,92681698,94186008,95645824,97085846,98525620,99970348,101419713,102881232,104362271,105868347,107401340,108961863,110551674,112171799,113821014,115500477,117204512,118916170,120613145,122278345,123904486,125492045,127041506,128556343,130038964,131487283,
IDA only,IDX,243181184,249736594,256464809,263398295,270595053,278070835,285851470,293901002,302128425,310446662,318810976,327168114,335531887,343973074,352582004,361416482,370505906,379826093,389327559,398929590,408571166,418238111,427959522,437782666,447777363,458002020,468472503,479191392,490155744,501348945,512767364,524405175,
Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,404628638,413665289,422755988,431898395,441096298,450351808,459654091,468994879,478382432,487829903,497343781,506921859,516550160,526208463,535870426,545513566,555120317,564681863,574193966,583656162,593062003,602414128,611691895,620838676,629781810,638471941,646880728,655027697,662970969,670795935,678564292,686291907,
Not classified,INX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,1769807,1768856,1767271,1758013,1749475,1749533,1758419,1769498,1777643,1784152,1793020,1807113,1825339,1844753,1866358,1892566,1924636,1959431,1993725,2032174,2077831,2134642,2196534,2240444,2261587,2271996,2278082,2280652,2283898,2291300,2319581,2366890,
